issuerName,filing,submissionType,reportPeriod,filedDate,issuerTitleOfClass,filerCik,filerName,issuerQkid,value,QOQValue,shrsOrPrnAmt,QOQSshPrnAmt,portWgt,QOQPortWgt,qtrsHeld,newOrDeleted
CROCS INC,edgar/data/1883897/0001140361-24-035853.txt,13F-HR,20240630,20240806,COM,1883897,Quest Partners LLC,0001334036.0000.001SDGFR8,0,0,0,0,0,0,0,DEL
CROCS INC,edgar/data/1862282/0001951757-24-000570.txt,13F-HR,20240630,20240722,COM,1862282,Pallas Capital Advisors LLC,0001334036.0000.001SDGFR8,0,-343826,0,-2391,0,-0.00014315,1,DEL
CROCS INC,edgar/data/1802994/0001802994-24-000001.txt,13F-HR,20240630,20240806,COM,1802994,Mine & Arao Wealth Creation & Management  LLC.,0001334036.0000.001SDGFR8,0,-288,0,-2,0,-0.00000142,1,DEL
CROCS INC,edgar/data/1766228/0001951757-24-000605.txt,13F-HR,20240630,20240802,COM,1766228,Legacy Capital Wealth Partners  LLC,0001334036.0000.001SDGFR8,0,-1045714,0,-7105,0,-0.00743607,1,DEL
CROCS INC,edgar/data/1755987/0001755987-24-000005.txt,13F-HR,20240630,20240806,COM,1755987,Oak Thistle LLC,0001334036.0000.001SDGFR8,0,-200313,0,-1393,0,-0.00179781,2,DEL
CROCS INC,edgar/data/1741736/0001683168-24-005294.txt,13F-HR,20240630,20240806,COM,1741736,Financial Gravity Asset Management  Inc.,0001334036.000.001SDGFR8,0,0,0,0,0,0,1,DEL
CROCS INC,edgar/data/1741024/0001741024-24-000006.txt,13F-HR,20240630,20240806,COM,1741024,DUALITY ADVISERS  LP ,0001334036.0000.001SDGFR8,0,0,0,0,0,0,1,DEL
CROCS INC,edgar/data/1730033/0001730033-24-000003.txt,13F-HR,20240630,20240729,COM,1730033,Crewe Advisors LLC,0001334036.0000.001SDGFR8,0,-3739,0,-26,0,-0.00000436,2,DEL
CROCS INC,edgar/data/1664193/0001398344-24-013414.txt,13F-HR,20240630,20240731,COM,1664193,Aptus Capital Advisors  LLC,0001334036.0000.001SDGFR8,0,-4267840,0,-29679,0,-0.00079392,2,DEL
CROCS INC,edgar/data/1649107/0001649107-24-000003.txt,13F-HR,20240630,20240731,COM,1649107,Moisand Fitzgerald Tamayo  LLC,0001334036.0000.001SDGFR8,0,-432,0,-3,0,-0.00000066,1,DEL
CROCS INC,edgar/data/1604903/0000894189-24-004102.txt,13F-HR,20240630,20240718,COM,1604903,FCF Advisors LLC,0001334036.0000.001SDGFR8,0,-1172401,0,-8153,0,-0.00293252,2,DEL
CROCS INC,edgar/data/1598561/0001598561-24-000004.txt,13F-HR,20240630,20240725,COM,1598561,JANICZEK WEALTH MANAGEMENT  LLC,0001334036.0000.001SDGFR8,0,-18263,0,-127,0,-0.00003888,8,DEL
